                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2684,                 3.3818,                 1.2584,                0.02689,                0.97382,                0.10975,                0.06548,                0.92262,                 3.1159,                0.91505,             0.00020004,             0.00020004,             0.00020004
                      1,                0.96114,                 1.5455,                0.98432,                0.49804,                  0.512,                0.48667,                0.40244,                0.73747,                  2.702,                0.87692,             0.00041262,             0.00041262,             0.00041262
                      2,                 0.8666,                 1.1359,                0.95664,                0.77066,                0.17534,                0.20828,                0.16563,                0.87853,                 3.3712,                 1.0739,             0.00062092,             0.00062092,             0.00062092
                      3,                0.84409,                0.94637,                0.94203,                0.94113,                0.36167,                0.67973,                0.54203,                0.79235,                 2.5143,                0.93986,             0.00082492,             0.00082492,             0.00082492
                      4,                 0.7929,                0.82179,                0.91913,                0.84219,                0.64651,                0.83244,                0.68701,                0.71157,                 1.7973,                0.87189,              0.0010246,              0.0010246,              0.0010246
                      5,                0.75987,                0.76901,                0.91714,                0.93878,                0.82792,                0.93284,                0.76903,                0.69868,                 1.0914,                0.85248,              0.0012201,              0.0012201,              0.0012201
                      6,                0.73339,                 0.7429,                0.91131,                0.96499,                0.89018,                   0.96,                0.80844,                0.64308,                0.79057,                0.84206,              0.0014112,              0.0014112,              0.0014112
                      7,                0.78579,                0.76566,                0.92771,                0.91203,                  0.992,                 0.9753,                 0.8002,                0.71823,                0.73718,                0.87818,              0.0015515,              0.0015515,              0.0015515
                      8,                0.78818,                0.74394,                 0.9268,                0.91607,                0.97252,                0.96747,                0.77078,                0.81183,                0.81837,                0.91615,              0.0015515,              0.0015515,              0.0015515
                      9,                0.74696,                0.68875,                0.90938,                0.91567,                0.97629,                0.97459,                0.82485,                0.60986,                0.63529,                0.84413,               0.001535,               0.001535,               0.001535
                     10,                  0.711,                0.65987,                0.90258,                0.89366,                0.97608,                0.97685,                0.83439,                0.60223,                0.56288,                0.84003,              0.0015185,              0.0015185,              0.0015185
                     11,                0.68978,                0.64624,                0.89973,                0.92502,                  0.976,                0.98389,                0.79251,                 0.7456,                0.61118,                0.87376,               0.001502,               0.001502,               0.001502
                     12,                0.67503,                 0.6331,                 0.8842,                0.90907,                0.98325,                 0.9755,                0.76629,                0.84135,                0.65925,                0.93096,              0.0014855,              0.0014855,              0.0014855
                     13,                0.65153,                0.61834,                0.88889,                0.91826,                0.96291,                0.97771,                0.84598,                0.56927,                0.53945,                0.83467,               0.001469,               0.001469,               0.001469
                     14,                0.67931,                 0.5913,                0.88823,                0.93055,                0.98586,                0.98596,                0.85547,                0.58198,                0.53451,                 0.8342,              0.0014525,              0.0014525,              0.0014525
                     15,                0.67456,                0.59663,                0.88549,                0.93483,                0.96182,                0.98294,                0.85258,                0.60146,                 0.5048,                0.83523,               0.001436,               0.001436,               0.001436
                     16,                0.65182,                0.60095,                0.88805,                0.91881,                0.98182,                0.97518,                0.82604,                0.56558,                0.57202,                0.84243,              0.0014195,              0.0014195,              0.0014195
                     17,                0.64016,                0.59578,                 0.8933,                0.96777,                0.92764,                0.98705,                0.85595,                0.55015,                0.51239,                0.82846,              0.0014029,              0.0014029,              0.0014029
                     18,                0.61181,                0.56384,                0.87502,                0.97371,                0.92616,                0.98432,                 0.8626,                0.51491,                0.46954,                0.81473,              0.0013864,              0.0013864,              0.0013864
                     19,                0.57987,                0.53839,                0.87058,                0.90773,                0.96768,                0.98113,                0.85416,                0.56438,                0.49581,                0.83378,              0.0013699,              0.0013699,              0.0013699
                     20,                0.58073,                0.52336,                0.87464,                 0.9307,                0.97491,                0.97811,                0.84246,                 0.5838,                0.50598,                0.84047,              0.0013534,              0.0013534,              0.0013534
